Vapp(Cathode) [V],P(Cathode) [V],I(Cathode) [A],Ie(Cathode) [A],Ih(Cathode) [A],Vapp(Anode) [V],P(Anode) [V],I(Anode) [A],Ie(Anode) [A],Ih(Anode) [A],Power [W]
0.0,0.0,5.31779668315887e-10,5.31779667966682e-10,3.49204466432776e-19,-31.0,-31.0,-5.31779676264077e-10,-5.316926294098231e-10,-8.704685425394141e-14,1.64851699641864e-08
0.0,0.0,5.32021240072752e-10,5.32021239721161e-10,3.51591200136536e-19,-32.0,-32.0,-5.32021233087855e-10,-5.319340466459151e-10,-8.71864419406019e-14,1.70246794588114e-08
0.0,0.0,5.32241274985134e-10,5.32241274631036e-10,3.54097111219867e-19,-33.0,-33.0,-5.32241287123668e-10,-5.32153995374283e-10,-8.72917493848832e-14,1.75639624750811e-08
0.0,0.0,5.32442477181844e-10,5.32442476825132e-10,3.56712239026179e-19,-34.0,-34.0,-5.3244247289566e-10,-5.3235508591027e-10,-8.73869853905419e-14,1.81030440784525e-08
0.0,0.0,5.32627162350944e-10,5.32627161991534e-10,3.59409888793258e-19,-35.0,-35.0,-5.32627141826257e-10,-5.32539662340139e-10,-8.74794861179419e-14,1.8641949963919e-08
0.0,0.0,5.327970959677281e-10,5.327970956055421e-10,3.6218644603724903e-19,-36.0,-36.0,-5.32797087889154e-10,-5.32709515515899e-10,-8.75723732554406e-14,1.91806951640095e-08
0.0,0.0,5.32953836611371e-10,5.32953836246329e-10,3.6504217251096704e-19,-37.0,-37.0,-5.32953840232665e-10,-5.32866168228587e-10,-8.76720040778258e-14,1.97192920886086e-08
0.0,0.0,5.33098802858446e-10,5.33098802490476e-10,3.6797015601903503e-19,-38.0,-38.0,-5.33098801430322e-10,-5.33010992123141e-10,-8.78093071814062e-14,2.02577544543522e-08
0.0,0.0,5.33233169082152e-10,5.33233168711189e-10,3.70962792518915e-19,-39.0,-39.0,-5.332331530269521e-10,-5.331451835493941e-10,-8.79694775580563e-14,2.07960929680511e-08
0.0,0.0,5.33357844065565e-10,5.33357843691549e-10,3.7401599108997504e-19,-40.0,-40.0,-5.33357852192048e-10,-5.3326976982616e-10,-8.8082365888435e-14,2.13343140876819e-08
0.0,0.0,5.335063912304921e-10,5.33506390853364e-10,3.77127294941404e-19,-41.0,-41.0,-5.33473826641081e-10,-5.33385648039936e-10,-8.8178601145594e-14,2.18724268922843e-08
0.0,0.0,5.33581880187522e-10,5.33581879807228e-10,3.80294599240875e-19,-42.0,-42.0,-5.33581882920447e-10,-5.33493610763726e-10,-8.827215672124831e-14,2.24104390826588e-08
0.0,0.0,5.33682719678607e-10,5.33682719295092e-10,3.8351578935781404e-19,-43.0,-43.0,-5.33682729614632e-10,-5.33594362010534e-10,-8.836760409771881e-14,2.29483573734292e-08
0.0,0.0,5.337770011147511e-10,5.337770007279631e-10,3.86788661675188e-19,-44.0,-44.0,-5.33777003155553e-10,-5.3368852920532e-10,-8.84739502328723e-14,2.34861881388443e-08
0.0,0.0,5.33865256625528e-10,5.33865256235417e-10,3.90110909730086e-19,-45.0,-45.0,-5.33865270349937e-10,-5.33776673039403e-10,-8.859731053422841e-14,2.40239371657472e-08
0.0,0.0,5.33948025163819e-10,5.33948024770339e-10,3.93480129490338e-19,-46.0,-46.0,-5.33948008764014e-10,-5.33859295819862e-10,-8.87129441514054e-14,2.45616084031446e-08
0.0,0.0,5.34025654338884e-10,5.3402565394199e-10,3.96893829745853e-19,-47.0,-47.0,-5.34025657046182e-10,-5.33936848613203e-10,-8.880843297887841e-14,2.50992058811705e-08
0.0,0.0,5.34098639476664e-10,5.34098639076314e-10,4.00349442410194e-19,-48.0,-48.0,-5.34098631610892e-10,-5.34009737387075e-10,-8.88942238166903e-14,2.56367343173228e-08
0.0,0.0,5.34167318192068e-10,5.34167317788224e-10,4.03844335313382e-19,-49.0,-49.0,-5.34167304986155e-10,-5.340783283093811e-10,-8.897667677425631e-14,2.61741979443216e-08
0.0,0.0,5.34232009052949e-10,5.34232008645573e-10,4.07375825346658e-19,-50.0,-50.0,-5.34232010251981e-10,-5.34142952334684e-10,-8.905791729651371e-14,2.6711600512599e-08
