# Title: Gnuplot File Created by Genius TCAD Simulation
# Date: Sat May  2 19:46:04 2026

# Plotname: DC transfer characteristic
# Variables: 
#	1	Vapp(Anode) [V]
#	2	P(Anode) [V]
#	3	I(Anode) [A]
#	4	Ie(Anode) [A]
#	5	Ih(Anode) [A]
#	6	Vapp(Cathode) [V]
#	7	P(Cathode) [V]
#	8	I(Cathode) [A]
#	9	Ie(Cathode) [A]
#	10	Ih(Cathode) [A]
#	11	Power [W]

     0.00000000000000e+00    -9.03314338154576e-26    -6.78054545038095e-18     9.40514173531434e-35    -6.78054545038095e-18     0.00000000000000e+00     0.00000000000000e+00     3.86709349037588e-19     3.86709349037588e-19     2.19266249213411e-35     0.00000000000000e+00
     1.00000000000000e-01     9.99999997738836e-02     2.26128559390929e-13     1.13922649043501e-18     2.26127420164438e-13     0.00000000000000e+00     0.00000000000000e+00    -2.26110963965456e-13    -2.26110438768116e-13    -5.25197340694045e-19     2.26128559390929e-14
     2.00000000000000e-01     1.99999998211189e-01     1.78883296289454e-12     5.56364599988321e-17     1.78877732643454e-12     0.00000000000000e+00     0.00000000000000e+00    -1.78880678209608e-12    -1.78878114004750e-12    -2.56420485831963e-17     3.57766592578907e-13
     3.00000000000000e-01     2.99999987342952e-01     1.26570074619637e-11     2.66227859331997e-15     1.26543451833704e-11     0.00000000000000e+00     0.00000000000000e+00    -1.26570511577160e-11    -1.26558240916543e-11    -1.22706606166695e-15     3.79710223858910e-12
     4.00000000000000e-01     3.99999911186228e-01     8.88137575472202e-11     1.27326169713103e-13     8.86864313775070e-11     0.00000000000000e+00     0.00000000000000e+00    -8.88137718507952e-11    -8.87552528206794e-11    -5.85190301158231e-14     3.55255030188881e-11
     5.00000000000000e-01     4.99999354539619e-01     6.45460348428281e-10     6.07242119988562e-12     6.39387927228395e-10     0.00000000000000e+00     0.00000000000000e+00    -6.45460377149625e-10    -6.42691390967657e-10    -2.76898618196800e-12     3.22730174214141e-10
     6.00000000000000e-01     5.99994332879840e-01     5.66712021928913e-09     2.87997238621094e-10     5.37912298066803e-09     0.00000000000000e+00     0.00000000000000e+00    -5.66712015412515e-09    -5.53621810154858e-09    -1.30902052576571e-10     3.40027213157348e-09
     7.00000000000000e-01     6.99910084720406e-01     8.99152795991490e-08     1.35318144551953e-08     7.63834651439537e-08     0.00000000000000e+00     0.00000000000000e+00    -8.99152795982484e-08    -8.37566135429921e-08    -6.15866605525630e-09     6.29406957194043e-08
     8.00000000000000e-01     7.97479522805640e-01     2.52047719433507e-06     5.65016990338150e-07     1.95546020399692e-06     0.00000000000000e+00     0.00000000000000e+00    -2.52047719435840e-06    -2.26182233119028e-06    -2.58654863168123e-07     2.01638175546806e-06
     9.00000000000000e-01     8.71105690428735e-01     2.88943095712755e-05     7.75940331788992e-06     2.11349062533856e-05     0.00000000000000e+00     0.00000000000000e+00    -2.88943095712663e-05    -2.52509669051726e-05    -3.64334266609377e-06     2.60048786141479e-05
     1.00000000000000e+00     9.13023072861681e-01     8.69769271382976e-05     2.63967375033365e-05     6.05801896349610e-05     0.00000000000000e+00     0.00000000000000e+00    -8.69769271383177e-05    -7.40260558858801e-05    -1.29508712524376e-05     8.69769271382976e-05
